,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
2010-07-27 to 2010-08-09,-0.8823371532793602,,,,,,,,,,,,,
2010-07-28 to 2010-08-10,-0.5940020854292042,,,,,,,,,,,,,
2010-07-29 to 2010-08-11,-3.0684832633372565,,,,,,,,,,,,,
2010-07-30 to 2010-08-12,-2.1224606451544172,,,,,,,,,,,,,
2010-07-31 to 2010-08-13,-4.869139368169912,,,,,,,,,,,,,
2010-08-01 to 2010-08-14,-4.869139368169912,,,,,,,,,,,,,
2010-08-02 to 2010-08-15,-4.869139368169912,,,,,,,,,,,,,
2010-08-03 to 2010-08-16,-5.455657363630214,,,,,,,,,,,,,
2010-08-04 to 2010-08-17,-4.186616912633854,,,,,,,,,,,,,
2010-08-05 to 2010-08-18,-3.2976647449608563,,,,,,,,,,,,,
2010-08-06 to 2010-08-19,-3.9255611908954693,,,,,,,,,,,,,
2010-08-07 to 2010-08-20,-4.626528211666507,,,,,,,,,,,,,
2010-08-08 to 2010-08-21,-4.626528211666507,,,,,,,,,,,,,
2010-08-09 to 2010-08-22,-4.626528211666507,,,,,,,,,,,,,
2010-08-10 to 2010-08-23,-5.24652401754573,,,,,,,,,,,,,
2010-08-11 to 2010-08-24,-4.100877181937818,,,,,,,,,,,,,
2010-08-12 to 2010-08-25,-3.534667806407885,,,,,,,,,,,,,
2010-08-13 to 2010-08-26,-3.5407354219350347,,,,,,,,,,,,,
2010-08-14 to 2010-08-27,-2.430971048946975,,,,,,,,,,,,,
2010-08-15 to 2010-08-28,-2.430971048946975,,,,,,,,,,,,,
2010-08-16 to 2010-08-29,-2.430971048946975,,,,,,,,,,,,,
2010-08-17 to 2010-08-30,-3.758389740007136,,,,,,,,,,,,,
2010-08-18 to 2010-08-31,-3.939590064501585,,,,,,,,,,,,,
2010-08-19 to 2010-09-01,0.1800776472577097,,,,,,,,,,,,,
2010-08-20 to 2010-09-02,1.0134459655005523,,,,,,,,,,,,,
2010-08-21 to 2010-09-03,5.276673130083854,,,,,,,,,,,,,
2010-08-22 to 2010-09-04,5.276673130083854,,,,,,,,,,,,,
2010-08-23 to 2010-09-05,5.276673130083854,,,,,,,,,,,,,
2010-08-24 to 2010-09-06,7.852282201259101,,,,,,,,,,,,,
2010-08-25 to 2010-09-07,6.142676591641414,,,,,,,,,,,,,
2010-08-26 to 2010-09-08,9.422330197641164,,,,,,,,,,,,,
2010-08-27 to 2010-09-09,8.877607706816395,,,,,,,,,,,,,
2010-08-28 to 2010-09-10,8.6226810693787,,,,,,,,,,,,,
2010-08-29 to 2010-09-11,8.6226810693787,,,,,,,,,,,,,
2010-08-30 to 2010-09-12,8.6226810693787,,,,,,,,,,,,,
2010-08-31 to 2010-09-13,9.847665298140793,,,,,,,,,,,,,
2010-09-01 to 2010-09-14,7.082679392794187,,,,,,,,,,,,,
2010-09-02 to 2010-09-15,7.157868095954245,,,,,,,,,,,,,
2010-09-03 to 2010-09-16,6.87867233834103,,,,,,,,,,,,,
2010-09-04 to 2010-09-17,6.81121685619772,,,,,,,,,,,,,
2010-09-05 to 2010-09-18,6.81121685619772,,,,,,,,,,,,,
2010-09-06 to 2010-09-19,6.81121685619772,,,,,,,,,,,,,
2010-09-07 to 2010-09-20,9.859989073998793,,,,,,,,,,,,,
2010-09-08 to 2010-09-21,7.930140370679909,,,,,,,,,,,,,
2010-09-09 to 2010-09-22,9.381512219847693,,,,,,,,,,,,,
2010-09-10 to 2010-09-23,9.684511414186145,,,,,,,,,,,,,
2010-09-11 to 2010-09-24,9.466793486063176,,,,,,,,,,,,,
2010-09-12 to 2010-09-25,9.466793486063176,,,,,,,,,,,,,
2010-09-13 to 2010-09-26,9.466793486063176,,,,,,,,,,,,,
2010-09-14 to 2010-09-27,8.61741564022006,,,,,,,,,,,,,
2010-09-15 to 2010-09-28,6.157935636577882,,,,,,,,,,,,,
2010-09-16 to 2010-09-29,3.9049828695351083,,,,,,,,,,,,,
2010-09-17 to 2010-09-30,3.043211718878963,,,,,,,,,,,,,
2010-09-18 to 2010-10-01,-0.250681145572462,,,,,,,,,,,,,
2010-09-19 to 2010-10-02,-0.250681145572462,,,,,,,,,,,,,
2010-09-20 to 2010-10-03,-0.250681145572462,,,,,,,,,,,,,
2010-09-21 to 2010-10-04,-1.8078107120544247,,,,,,,,,,,,,
2010-09-22 to 2010-10-05,0.4135599313773176,,,,,,,,,,,,,
2010-09-23 to 2010-10-06,0.09346110275814923,,,,,,,,,,,,,
2010-09-24 to 2010-10-07,-1.0604805498821563,,,,,,,,,,,,,
2010-09-25 to 2010-10-08,0.999476675830159,,,,,,,,,,,,,
2010-09-26 to 2010-10-09,0.999476675830159,,,,,,,,,,,,,
2010-09-27 to 2010-10-10,0.999476675830159,,,,,,,,,,,,,
2010-09-28 to 2010-10-11,2.963145660340229,,,,,,,,,,,,,
2010-09-29 to 2010-10-12,3.886939197206914,,,,,,,,,,,,,
2010-09-30 to 2010-10-13,5.7761924026034865,,,,,,,,,,,,,
2010-10-01 to 2010-10-14,7.004811472605871,,,,,,,,,,,,,
2010-10-02 to 2010-10-15,12.95578533998267,,,,,,,,,,,,,
2010-10-03 to 2010-10-16,12.95578533998267,,,,,,,,,,,,,
2010-10-04 to 2010-10-17,12.95578533998267,,,,,,,,,,,,,
2010-10-05 to 2010-10-18,10.057492254452123,,,,,,,,,,,,,
2010-10-06 to 2010-10-19,7.019583887327453,,,,,,,,,,,,,
2010-10-07 to 2010-10-20,7.368123650238552,,,,,,,,,,,,,
2010-10-08 to 2010-10-21,5.253868228237223,,,,,,,,,,,,,
2010-10-09 to 2010-10-22,4.100085642645132,,,,,,,,,,,,,
2010-10-10 to 2010-10-23,4.100085642645132,,,,,,,,,,,,,
2010-10-11 to 2010-10-24,4.100085642645132,,,,,,,,,,,,,
2010-10-12 to 2010-10-25,3.450154435233012,,,,,,,,,,,,,
2010-10-13 to 2010-10-26,2.635426094014962,,,,,,,,,,,,,
2010-10-14 to 2010-10-27,1.825932511843798,,,,,,,,,,,,,
2010-10-15 to 2010-10-28,-3.018331197826287,,,,,,,,,,,,,
2010-10-16 to 2010-10-29,-5.352249992966729,,,,,,,,,,,,,
2010-10-17 to 2010-10-30,-5.352249992966729,,,,,,,,,,,,,
2010-10-18 to 2010-10-31,-5.352249992966729,,,,,,,,,,,,,
